french,gender,english,countable
chose,f,thing/object/item,True
homme,m,man,True
femme,f,woman/wife,True
vie,f,life,True
dieu,m,god,True
an,m,year (as in a precise moment or time unit when an action took place eg 'I spent a year in Spain'),True
année,f, year (emphasizing the duration or length of time as in 'During his sabbatical year'),True
grotte,f,cave,True
fourmi,f,ant,True
loi,f,law,True
serpent,m,snake,True
moustique,f, mosquito,True
sang,m, blood,False
portail,m, front gate,True
repos,m,rest or holiday, True
taille,f,size or dimensions eg of a bed/the height of a person, True
mensonge,m,lie or the act lying, True
requin,m,shark,True
hérisson,m,hedgehog,True
huile,f,oil eg for cooking or machinery,False
humour,m,humour (as in a sense of humour),False
handisport,m,parasport,True
haricot,m,bean,True
honte,f,shame,False
haie,f,hedge,True
bonheur,m,happiness,False
timbre,m,stamp/tone or timbre),True
forêt,f,forest,True
témoin,m,witness,True
star,f,star (in sense of a pop star),True
personne,f,person (can be counted),True
victime,f,victim,True
balle,f,bullet,True
cravate,f,tie (as in necktie),True
bagarre,f,fight,True
arme,f,weapon (as in 'he was caught with a weapon'),True
preuve,f,proof or evidence,False
oreille,f,ear (in the sense of the organ for hearing),True
vidéo,f, video or videoclip,True
réseau,m, network,True
oxygène,m, oxygen/air or fresh air,False
sentiment,m,feeling or impression/opinion or point of view,True
pluie,f,rain,True
entretien,m,interview/maintenance/upkeep,True
chimie,f,chemistry (the science),False
contrat,m,contract,True
avantage,m,advantage,True
salaire,m,salary/pay/reward,True
architecture,f,architecture,True
inconvénient,m,disadvantage/inconvenience/drawback,True
mallette,f,briefcase,True
emploi,m,job,True
